id,generation,sex,sire,dam
F0-A-M_A2,F0,M_A2,-9999,-9999
F0-A-M_B2,F0,M_B2,-9999,-9999
F0-A-M_C2,F0,M_C2,-9999,-9999
F0-A-M_D2,F0,M_D2,-9999,-9999
F0-A-M_E2,F0,M_E2,-9999,-9999
F0-A-M_F2,F0,M_F2,-9999,-9999
F0-A-M_G2,F0,M_G2,-9999,-9999
F0-A-M_H2,F0,M_H2,-9999,-9999
F0-A-M_I2,F0,M_I2,-9999,-9999
F0-A-M_J2,F0,M_J2,-9999,-9999
F0-A-M_K2,F0,M_K2,-9999,-9999
F0-A-M_L2,F0,M_L2,-9999,-9999
F0-A-M_M2,F0,M_M2,-9999,-9999
F0-A-M_N2,F0,M_N2,-9999,-9999
F0-B-F_A2,F0,F_A2,-9999,-9999
F0-B-F_B2,F0,F_B2,-9999,-9999
F0-B-F_C2,F0,F_C2,-9999,-9999
F0-B-F_D2,F0,F_D2,-9999,-9999
F0-B-F_E2,F0,F_E2,-9999,-9999
F0-B-F_F2,F0,F_F2,-9999,-9999
F0-B-F_G2,F0,F_G2,-9999,-9999
F0-B-F_H2,F0,F_H2,-9999,-9999
F0-B-F_I2,F0,F_I2,-9999,-9999
F0-B-F_J2,F0,F_J2,-9999,-9999
F0-B-F_K2,F0,F_K2,-9999,-9999
F0-B-F_L2,F0,F_L2,-9999,-9999
F0-B-F_M2,F0,F_M2,-9999,-9999
F0-B-F_N2,F0,F_N2,-9999,-9999
F01-A2-M-06,F01,M,F0-A-M_A2,F0-B-F_A2
F01-B2-F-01,F01,F,F0-A-M_B2,F0-B-F_B2
F01-B2-M-12,F01,M,F0-A-M_B2,F0-B-F_B2
F01-C2-F-05,F01,F,F0-A-M_C2,F0-B-F_C2
F01-C2-M-13,F01,M,F0-A-M_C2,F0-B-F_C2
F01-D2-F-01,F01,F,F0-A-M_D2,F0-B-F_D2
F01-D2-F-06,F01,F,F0-A-M_D2,F0-B-F_D2
F01-D2-M-08,F01,M,F0-A-M_D2,F0-B-F_D2
F01-E2-F-02,F01,F,F0-A-M_E2,F0-B-F_E2
F01-E2-M-13,F01,M,F0-A-M_E2,F0-B-F_E2
F01-F2-F-05,F01,F,F0-A-M_F2,F0-B-F_F2
F01-F2-M-12,F01,M,F0-A-M_F2,F0-B-F_F2
F01-G2-F-02,F01,F,F0-A-M_G2,F0-B-F_G2
F01-G2-M-08,F01,M,F0-A-M_G2,F0-B-F_G2
F01-H2-F-01,F01,F,F0-A-M_H2,F0-B-F_H2
F01-H2-M-10,F01,M,F0-A-M_H2,F0-B-F_H2
F01-I2-F-04,F01,F,F0-A-M_I2,F0-B-F_I2
F01-I2-M-09,F01,M,F0-A-M_I2,F0-B-F_I2
F01-J2-F-04,F01,F,F0-A-M_J2,F0-B-F_J2
F01-J2-M-06,F01,M,F0-A-M_J2,F0-B-F_J2
F01-K2-F-05,F01,F,F0-A-M_K2,F0-B-F_K2
F01-K2-M-10,F01,M,F0-A-M_K2,F0-B-F_K2
F01-K2-M-11,F01,M,F0-A-M_K2,F0-B-F_K2
F01-L2-F-01,F01,F,F0-A-M_L2,F0-B-F_L2
F01-L2-M-04,F01,M,F0-A-M_L2,F0-B-F_L2
F01-M2-F-05,F01,F,F0-A-M_M2,F0-B-F_M2
F01-M2-M-12,F01,M,F0-A-M_M2,F0-B-F_M2
F01-N2-F-02,F01,F,F0-A-M_N2,F0-B-F_N2
F02-A2-F-08,F02,F,F01-A2-M-06,F01-B2-F-01
F02-A2-M-10,F02,M,F01-A2-M-06,F01-B2-F-01
F02-B2-F-05,F02,F,F01-B2-M-12,F01-C2-F-05
F02-B2-M-13,F02,M,F01-B2-M-12,F01-C2-F-05
F02-C2-F-08,F02,F,F01-C2-M-13,F01-D2-F-06
F02-C2-M-10,F02,M,F01-C2-M-13,F01-D2-F-06
F02-D2-F-07,F02,F,F01-D2-M-08,F01-E2-F-02
F02-D2-M-16,F02,M,F01-D2-M-08,F01-E2-F-02
F02-E2-F-04,F02,F,F01-E2-M-13,F01-F2-F-05
F02-E2-M-13,F02,M,F01-E2-M-13,F01-F2-F-05
F02-F2-F-03,F02,F,F01-F2-M-12,F01-G2-F-02
F02-F2-M-11,F02,M,F01-F2-M-12,F01-G2-F-02
F02-G2-F-02,F02,F,F01-G2-M-08,F01-H2-F-01
F02-G2-M-14,F02,M,F01-G2-M-08,F01-H2-F-01
F02-H2-F-04,F02,F,F01-H2-M-10,F01-I2-F-04
F02-H2-M-15,F02,M,F01-H2-M-10,F01-I2-F-04
F02-I2-F-04,F02,F,F01-I2-M-09,F01-J2-F-04
F02-I2-M-15,F02,M,F01-I2-M-09,F01-J2-F-04
F02-K2-F-03,F02,F,F01-K2-M-11,F01-L2-F-01
F02-K2-M-08,F02,M,F01-K2-M-11,F01-L2-F-01
F02-L2-F-03,F02,F,F01-L2-M-04,F01-M2-F-05
F02-L2-M-09,F02,M,F01-L2-M-04,F01-M2-F-05
F02-M2-F-06,F02,F,F01-M2-M-12,F01-N2-F-02
F02-O2-F-03,F02,F,F01-J2-M-06,F01-K2-F-05
F02-O2-M-13,F02,M,F01-J2-M-06,F01-K2-F-05
F02-P2-M-09,F02,M,F01-K2-M-10,F01-D2-F-01
F03-A2-F-04,F03,F,F02-A2-M-10,F02-C2-F-08
F03-A2-M-14,F03,M,F02-A2-M-10,F02-C2-F-08
F03-B2-M-09,F03,M,F02-B2-M-13,F02-D2-F-07
F03-C2-F-02,F03,F,F02-C2-M-10,F02-E2-F-04
F03-C2-M-09,F03,M,F02-C2-M-10,F02-E2-F-04
F03-D2-F-01,F03,F,F02-D2-M-16,F02-F2-F-03
F03-D2-M-08,F03,M,F02-D2-M-16,F02-F2-F-03
F03-E2-F-01,F03,F,F02-E2-M-13,F02-G2-F-02
F03-E2-M-15,F03,M,F02-E2-M-13,F02-G2-F-02
F03-F2-F-06,F03,F,F02-F2-M-11,F02-H2-F-04
F03-F2-M-14,F03,M,F02-F2-M-11,F02-H2-F-04
F03-G2-F-01,F03,F,F02-G2-M-14,F02-I2-F-04
F03-H2-F-06,F03,F,F02-H2-M-15,F02-K2-F-03
F03-H2-M-10,F03,M,F02-H2-M-15,F02-K2-F-03
F03-I2-F-04,F03,F,F02-I2-M-15,F02-L2-F-03
